Watching for file changes with StatReloader
search leases!
"GET /lease/ HTTP/1.1" 200 51968
"GET /static/js/init.js HTTP/1.1" 404 1757
"GET /static/js/DragDiv.js HTTP/1.1" 404 1766
"GET /static/js/jquery.min.js HTTP/1.1" 404 1775
"GET /static/js/TableBase.js HTTP/1.1" 404 1772
"GET /static/js/PrintFile.js HTTP/1.1" 404 1772
"GET /static/js/InformationBase.js HTTP/1.1" 404 1790
"GET /static/css/drag.css HTTP/1.1" 404 1763
"GET /static/css/TableBase.css HTTP/1.1" 404 1778
"GET /static/js/init.js HTTP/1.1" 404 1757
"GET /static/js/TableBase.js HTTP/1.1" 404 1772
"GET /static/js/InformationBase.js HTTP/1.1" 404 1790
"GET /static/js/DragDiv.js HTTP/1.1" 404 1766
"GET /static/js/PrintFile.js HTTP/1.1" 404 1772
"GET /static/css/drag.css HTTP/1.1" 404 1763
"GET /static/css/TableBase.css HTTP/1.1" 404 1778
Watching for file changes with StatReloader
search leases!
"GET /lease/ HTTP/1.1" 200 51968
"GET /static/js/init.js HTTP/1.1" 404 1757
"GET /static/js/DragDiv.js HTTP/1.1" 404 1766
"GET /static/js/PrintFile.js HTTP/1.1" 404 1772
"GET /static/js/TableBase.js HTTP/1.1" 404 1772
"GET /static/js/jquery.min.js HTTP/1.1" 404 1775
"GET /static/js/InformationBase.js HTTP/1.1" 404 1790
"GET /static/css/TableBase.css HTTP/1.1" 404 1778
"GET /static/css/drag.css HTTP/1.1" 404 1763
"GET /static/js/init.js HTTP/1.1" 404 1757
"GET /static/js/TableBase.js HTTP/1.1" 404 1772
"GET /static/js/InformationBase.js HTTP/1.1" 404 1790
"GET /static/js/DragDiv.js HTTP/1.1" 404 1766
"GET /static/js/PrintFile.js HTTP/1.1" 404 1772
"GET /static/css/drag.css HTTP/1.1" 404 1763
"GET /static/css/TableBase.css HTTP/1.1" 404 1778
"GET /favicon.ico HTTP/1.1" 404 3680
E:\workSpace\HouseDjango\houseDjango\houseDjango\urls-debug.py changed, reloading.
Watching for file changes with StatReloader
search leases!
"GET /lease/ HTTP/1.1" 200 51968
"GET /static/js/init.js HTTP/1.1" 404 1656
"GET /static/js/jquery.min.js HTTP/1.1" 404 1674
"GET /static/js/DragDiv.js HTTP/1.1" 404 1665
"GET /static/js/InformationBase.js HTTP/1.1" 404 1689
"GET /static/js/PrintFile.js HTTP/1.1" 404 1671
"GET /static/js/TableBase.js HTTP/1.1" 404 1671
"GET /static/css/drag.css HTTP/1.1" 404 1662
"GET /static/css/TableBase.css HTTP/1.1" 404 1677
"GET /static/js/init.js HTTP/1.1" 404 1656
"GET /static/js/TableBase.js HTTP/1.1" 404 1671
"GET /static/js/InformationBase.js HTTP/1.1" 404 1689
